[0.0, -0.075]
[0.098, -0.075]
[0.099, -0.075]
[0.1, -0.075]
[0.101, -0.075]
[0.102, -0.075]
[0.103, -0.075]
[0.104, -0.075]
[0.105, -0.075]
[0.106, -0.075]
[0.107, -0.075]
[0.108, -0.075]
[0.109, -0.075]
[0.11, -0.075]
[0.111, -0.075]
[0.112, -0.075]
[0.113, -0.075]
[0.114, -0.075]
[0.115, -0.075]
[0.116, -0.075]
[0.117, -0.075]
[0.118, -0.075]
[0.119, -0.075]
[0.12, -0.075]
[0.121, -0.075]
[0.122, -0.075]
[0.123, -0.075]
[0.124, -0.075]
[0.125, -0.075]
[0.126, -0.075]
[0.127, -0.075]
[0.128, -0.075]
[0.129, -0.075]
[0.13, -0.075]
[0.131, -0.075]
[0.132, -0.075]
[0.133, -0.075]
[0.134, -0.075]
[0.135, -0.075]
[0.136, -0.075]
[0.137, -0.075]
[0.138, -0.075]
[0.139, -0.075]
[0.14, -0.075]
[0.141, -0.075]
[0.142, -0.075]
[0.143, -0.075]
[0.144, -0.075]
[0.145, -0.075]
[0.146, -0.075]
[0.147, -0.075]
[0.148, -0.075]
[0.149, -0.075]
[0.15, -0.075]
[0.151, -0.075]
[0.152, -0.075]
[0.153, -0.075]
[0.154, -0.075]
[0.155, -0.075]
[0.156, -0.075]
[0.157, -0.075]
[0.158, -0.075]
[0.159, -0.075]
[0.16, -0.075]
[0.161, -0.075]
[0.162, -0.075]
[0.163, -0.075]
[0.164, -0.075]
[0.165, -0.075]
[0.166, -0.075]
[0.167, -0.075]
[0.168, -0.075]
[0.169, -0.075]
[0.17, -0.075]
[0.171, -0.075]
[0.172, -0.075]
[0.173, -0.075]
[0.174, -0.075]
[0.175, -0.075]
[0.176, -0.075]
[0.177, -0.075]
[0.178, -0.075]
[0.179, -0.075]
[0.18, -0.075]
[0.181, -0.075]
[0.182, -0.075]
[0.183, -0.075]
[0.184, -0.075]
[0.185, -0.075]
[0.186, -0.075]
[0.187, -0.075]
[0.188, -0.075]
[0.189, -0.075]
[0.19, -0.075]
[0.191, -0.075]
[0.192, -0.075]
[0.193, -0.075]
[0.194, -0.075]
[0.195, -0.075]
[0.196, -0.075]
[0.197, -0.075]
[0.198, -0.075]
[0.199, -0.075]
[0.2, -0.075]
[0.201, -0.075]
[0.202, -0.075]
[0.203, -0.075]
[0.204, -0.075]
[0.205, -0.075]
[0.206, -0.075]
[0.207, -0.075]
[0.208, -0.075]
[0.209, -0.075]
[0.21, -0.075]
[0.211, -0.075]
[0.212, -0.075]
[0.213, -0.075]
[0.214, -0.075]
[0.215, -0.075]
[0.216, -0.075]
[0.217, -0.075]
[0.218, -0.075]
[0.219, -0.075]
[0.22, -0.075]
[0.221, -0.075]
[0.222, -0.075]
[0.223, -0.075]
[0.224, -0.075]
[0.225, -0.075]
[0.226, -0.075]
[0.227, -0.075]
[0.228, -0.075]
[0.229, -0.075]
[0.23, -0.075]
[0.231, -0.075]
[0.232, -0.075]
[0.233, -0.075]
[0.234, -0.075]
[0.235, -0.075]
[0.236, -0.075]
[0.237, -0.075]
[0.238, -0.075]
[0.239, -0.075]
[0.24, -0.075]
[0.241, -0.075]
[0.242, -0.075]
[0.243, -0.075]
[0.244, -0.075]
[0.245, -0.075]
[0.246, -0.075]
[0.247, -0.075]
[0.248, -0.075]
[0.249, -0.075]
[0.25, -0.075]
[0.251, -0.075]
[0.252, -0.075]
[0.253, -0.075]
[0.254, -0.075]
[0.255, -0.075]
[0.256, -0.075]
[0.257, -0.075]
[0.258, -0.075]
[0.259, -0.075]
[0.26, -0.075]
[0.261, -0.075]
[0.262, -0.075]
[0.263, -0.075]
[0.264, -0.075]
[0.265, -0.075]
[0.266, -0.075]
[0.267, -0.075]
[0.268, -0.075]
[0.269, -0.075]
[0.27, -0.075]
[0.271, -0.075]
[0.272, -0.075]
[0.273, -0.075]
[0.274, -0.075]
[0.275, -0.075]
[0.276, -0.075]
[0.277, -0.075]
[0.278, -0.075]
[0.279, -0.075]
[0.28, -0.075]
[0.281, -0.075]
[0.282, -0.075]
[0.283, -0.075]
[0.284, -0.075]
[0.285, -0.075]
[0.286, -0.075]
[0.287, -0.075]
[0.288, -0.075]
[0.289, -0.075]
[0.29, -0.075]
[0.291, -0.075]
[0.292, -0.075]
[0.293, -0.075]
[0.294, -0.075]
[0.295, -0.075]
[0.296, -0.075]
[0.297, -0.075]
[0.298, -0.075]
[0.299, -0.075]
[0.3, -0.075]
[0.301, -0.075]
[0.302, -0.075]
[0.303, -0.075]
[0.304, -0.075]
[0.305, -0.075]
[0.306, -0.075]
[0.307, -0.075]
[0.308, -0.075]
[0.309, -0.075]
[0.31, -0.075]
[0.311, -0.075]
[0.312, -0.075]
[0.313, -0.075]
[0.314, -0.075]
[0.315, -0.075]
[0.316, -0.075]
[0.317, -0.075]
[0.318, -0.075]
[0.319, -0.075]
[0.32, -0.075]
[0.321, -0.075]
[0.322, -0.075]
[0.323, -0.075]
[0.324, -0.075]
[0.325, -0.075]
[0.326, -0.075]
[0.327, -0.075]
[0.328, -0.075]
[0.329, -0.075]
[0.33, -0.075]
[0.331, -0.075]
[0.332, -0.075]
[0.333, -0.075]
[0.334, -0.075]
[0.335, -0.075]
[0.336, -0.075]
[0.337, -0.075]
[0.338, -0.075]
[0.339, -0.075]
[0.34, -0.075]
[0.341, -0.075]
[0.342, -0.075]
[0.343, -0.075]
[0.344, -0.075]
[0.345, -0.075]
[0.346, -0.075]
[0.347, -0.075]
[0.348, -0.075]
[0.349, -0.075]
[0.35, -0.075]
[0.351, -0.075]
[0.352, -0.075]
[0.353, -0.075]
[0.354, -0.075]
[0.355, -0.075]
[0.356, -0.075]
[0.357, -0.075]
[0.358, -0.075]
[0.359, -0.075]
[0.36, -0.075]
[0.361, -0.075]
[0.362, -0.075]
[0.363, -0.075]
[0.364, -0.075]
[0.365, -0.075]
[0.366, -0.075]
[0.367, -0.075]
[0.368, -0.075]
[0.369, -0.075]
[0.37, -0.075]
[0.371, -0.075]
[0.372, -0.075]
[0.373, -0.075]
[0.374, -0.075]
[0.375, -0.075]
[0.376, -0.075]
[0.377, -0.075]
[0.378, -0.075]
[0.379, -0.075]
[0.38, -0.075]
[0.381, -0.075]
[0.382, -0.075]
[0.383, -0.075]
[0.384, -0.075]
[0.385, -0.075]
[0.386, -0.075]
[0.387, -0.075]
[0.388, -0.075]
[0.389, -0.075]
[0.39, -0.075]
[0.391, -0.075]
[0.392, -0.075]
[0.393, -0.075]
[0.394, -0.075]
[0.395, -0.075]
[0.396, -0.075]
[0.397, -0.075]
[0.398, -0.075]
[0.399, -0.075]
[0.4, -0.075]
[0.401, -0.075]
[0.402, -0.075]
[0.403, -0.075]
[0.404, -0.075]
[0.405, -0.075]
[0.406, -0.075]
[0.407, -0.075]
[0.408, -0.075]
[0.409, -0.075]
[0.41, -0.075]
[0.411, -0.075]
[0.412, -0.075]
[0.413, -0.075]
[0.414, -0.075]
[0.415, -0.075]
[0.416, -0.075]
[0.417, -0.075]
[0.418, -0.075]
[0.419, -0.075]
[0.42, -0.075]
[0.421, -0.075]
[0.422, -0.075]
[0.423, -0.075]
[0.424, -0.075]
[0.425, -0.075]
[0.426, -0.075]
[0.427, -0.075]
[0.428, -0.075]
[0.429, -0.075]
[0.43, -0.075]
[0.431, -0.075]
[0.432, -0.075]
[0.433, -0.075]
[0.434, -0.075]
[0.435, -0.075]
[0.436, -0.075]
[0.437, -0.075]
[0.438, -0.075]
[0.439, -0.075]
[0.44, -0.075]
[0.441, -0.075]
[0.442, -0.075]
[0.443, -0.075]
[0.444, -0.075]
[0.445, -0.075]
[0.446, -0.075]
[0.447, -0.075]
[0.448, -0.075]
[0.449, -0.075]
[0.45, -0.075]
[0.451, -0.075]
[0.452, -0.075]
[0.453, -0.075]
[0.454, -0.075]
[0.455, -0.075]
[0.456, -0.075]
[0.457, -0.075]
[0.458, -0.075]
[0.459, -0.075]
[0.46, -0.075]
[0.461, -0.075]
[0.462, -0.075]
[0.463, -0.075]
[0.464, -0.075]
[0.465, -0.075]
[0.466, -0.075]
[0.467, -0.075]
[0.468, -0.075]
[0.469, -0.075]
[0.47, -0.075]
[0.471, -0.075]
[0.472, -0.075]
[0.473, -0.075]
[0.474, -0.075]
[0.475, -0.075]
[0.476, -0.075]
[0.477, -0.075]
[0.478, -0.075]
[0.479, -0.075]
[0.48, -0.075]
[0.481, -0.075]
[0.482, -0.075]
[0.483, -0.075]
[0.484, -0.075]
[0.485, -0.075]
[0.486, -0.075]
[0.487, -0.075]
[0.488, -0.075]
[0.489, -0.075]
[0.49, -0.075]
[0.491, -0.075]
[0.492, -0.075]
[0.493, -0.075]
[0.494, -0.075]
[0.495, -0.075]
[0.496, -0.075]
[0.497, -0.075]
[0.498, -0.075]
[0.499, -0.075]
[0.5, -0.075]
[0.501, -0.075]
[0.502, -0.075]
[0.503, -0.075]
[0.504, -0.075]
[0.505, -0.075]
[0.506, -0.075]
[0.507, -0.075]
[0.508, -0.075]
[0.509, -0.075]
[0.51, -0.075]
[0.511, -0.075]
[0.512, -0.075]
[0.513, -0.075]
[0.514, -0.075]
[0.515, -0.075]
[0.516, -0.075]
[0.517, -0.075]
[0.518, -0.075]
[0.519, -0.075]
[0.52, -0.075]
[0.521, -0.075]
[0.522, -0.075]
[0.523, -0.075]
[0.524, -0.075]
[0.525, -0.075]
[0.526, -0.075]
[0.527, -0.075]
[0.528, -0.075]
[0.529, -0.075]
[0.53, -0.075]
[0.531, -0.075]
[0.532, -0.075]
[0.533, -0.075]
[0.534, -0.075]
[0.535, -0.075]
[0.536, -0.075]
[0.537, -0.075]
[0.538, -0.075]
[0.539, -0.075]
[0.54, -0.075]
[0.541, -0.075]
[0.542, -0.075]
[0.543, -0.075]
[0.544, -0.075]
[0.545, -0.075]
[0.546, -0.075]
[0.547, -0.075]
[0.548, -0.075]
[0.549, -0.075]
[0.55, -0.075]
[0.551, -0.075]
[0.552, -0.075]
[0.553, -0.075]
[0.554, -0.075]
[0.555, -0.075]
[0.556, -0.075]
[0.557, -0.075]
[0.558, -0.075]
[0.559, -0.075]
[0.56, -0.075]
[0.561, -0.075]
[0.562, -0.075]
[0.563, -0.075]
[0.564, -0.075]
[0.565, -0.075]
[0.566, -0.075]
[0.567, -0.075]
[0.568, -0.075]
[0.569, -0.075]
[0.57, -0.075]
[0.571, -0.075]
[0.572, -0.075]
[0.573, -0.075]
[0.574, -0.075]
[0.575, -0.075]
[0.576, -0.075]
[0.577, -0.075]
[0.578, -0.075]
[0.579, -0.075]
[0.58, -0.075]
[0.581, -0.075]
[0.582, -0.075]
[0.583, -0.075]
[0.584, -0.075]
[0.585, -0.075]
[0.586, -0.075]
[0.587, -0.075]
[0.588, -0.075]
[0.589, -0.075]
[0.59, -0.075]
[0.591, -0.075]
[0.592, -0.075]
[0.593, -0.075]
[0.594, -0.075]
[0.595, -0.075]
[0.596, -0.075]
[0.597, -0.075]
[0.598, -0.075]
[0.599, -0.075]
[0.6, -0.075]
[0.601, -0.075]
[0.602, -0.075]
[0.603, -0.075]
[0.604, -0.075]
[0.605, -0.075]
[0.606, -0.075]
[0.607, -0.075]
[0.608, -0.075]
[0.609, -0.075]
[0.61, -0.075]
[0.611, -0.075]
[0.612, -0.075]
[0.613, -0.075]
[0.614, -0.075]
[0.615, -0.075]
[0.616, -0.075]
[0.617, -0.075]
[0.618, -0.075]
[0.619, -0.075]
[0.62, -0.075]
[0.621, -0.075]
[0.622, -0.075]
[0.623, -0.075]
[0.624, -0.075]
[0.625, -0.075]
[0.626, -0.075]
[0.627, -0.075]
[0.628, -0.075]
[0.629, -0.075]
[0.63, -0.075]
[0.631, -0.075]
[0.632, -0.075]
[0.633, -0.075]
[0.634, -0.075]
[0.635, -0.075]
[0.636, -0.075]
[0.637, -0.075]
[0.638, -0.075]
[0.639, -0.075]
[0.64, -0.075]
[0.641, -0.075]
[0.642, -0.075]
[0.643, -0.075]
[0.644, -0.075]
[0.645, -0.075]
[0.646, -0.075]
[0.647, -0.075]
[0.648, -0.075]
[0.649, -0.075]
[0.65, -0.075]
[0.651, -0.075]
[0.652, -0.075]
[0.653, -0.075]
[0.654, -0.075]
[0.655, -0.075]
[0.656, -0.075]
[0.657, -0.075]
[0.658, -0.075]
[0.659, -0.075]
[0.66, -0.075]
[0.661, -0.075]
[0.662, -0.075]
[0.663, -0.075]
[0.664, -0.075]
[0.665, -0.075]
[0.666, -0.075]
[0.667, -0.075]
[0.668, -0.075]
[0.669, -0.075]
[0.67, -0.075]
[0.671, -0.075]
[0.672, -0.075]
[0.673, -0.075]
[0.674, -0.075]
[0.675, -0.075]
[0.676, -0.075]
[0.677, -0.075]
[0.678, -0.075]
[0.679, -0.075]
[0.68, -0.075]
[0.681, -0.075]
[0.682, -0.075]
[0.683, -0.075]
[0.684, -0.075]
[0.685, -0.075]
[0.686, -0.075]
[0.687, -0.075]
[0.688, -0.075]
[0.689, -0.075]
[0.69, -0.075]
[0.691, -0.075]
[0.692, -0.075]
[0.693, -0.075]
[0.694, -0.075]
[0.695, -0.075]
[0.696, -0.075]
[0.697, -0.075]
[0.698, -0.075]
[0.699, -0.075]
[0.7, -0.075]
[0.701, -0.075]
[0.702, -0.075]
[0.703, -0.075]
[0.704, -0.075]
[0.705, -0.075]
[0.706, -0.075]
[0.707, -0.075]
[0.708, -0.075]
[0.709, -0.075]
[0.71, -0.075]
[0.711, -0.075]
[0.712, -0.075]
[0.713, -0.075]
[0.714, -0.075]
[0.715, -0.075]
[0.716, -0.075]
[0.717, -0.075]
[0.718, -0.075]
[0.719, -0.075]
[0.72, -0.075]
[0.721, -0.075]
[0.722, -0.075]
[0.723, -0.075]
[0.724, -0.075]
[0.725, -0.075]
[0.726, -0.075]
[0.727, -0.075]
[0.728, -0.075]
[0.729, -0.075]
[0.73, -0.075]
[0.731, -0.075]
[0.732, -0.075]
[0.733, -0.075]
[0.734, -0.075]
[0.735, -0.075]
[0.736, -0.075]
[0.737, -0.075]
[0.738, -0.075]
[0.739, -0.075]
[0.74, -0.075]
[0.741, -0.075]
[0.742, -0.075]
[0.743, -0.075]
[0.744, -0.075]
[0.745, -0.075]
[0.746, -0.075]
[0.747, -0.075]
[0.748, -0.075]
[0.749, -0.075]
[0.75, -0.075]
[0.751, -0.075]
[0.752, -0.075]
[0.753, -0.075]
[0.754, -0.075]
[0.755, -0.075]
[0.756, -0.075]
[0.757, -0.075]
[0.758, -0.075]
[0.759, -0.075]
[0.76, -0.075]
[0.761, -0.075]
[0.762, -0.075]
[0.763, -0.075]
[0.764, -0.075]
[0.765, -0.075]
[0.766, -0.075]
[0.767, -0.075]
[0.768, -0.075]
[0.769, -0.075]
[0.77, -0.075]
[0.771, -0.075]
[0.772, -0.075]
[0.773, -0.075]
[0.774, -0.075]
[0.775, -0.075]
[0.776, -0.075]
[0.777, -0.075]
[0.778, -0.075]
[0.779, -0.075]
[0.78, -0.075]
[0.781, -0.075]
[0.782, -0.075]
[0.783, -0.075]
[0.784, -0.075]
[0.785, -0.075]
[0.786, -0.075]
[0.787, -0.075]
[0.788, -0.075]
[0.789, -0.075]
[0.79, -0.075]
[0.791, -0.075]
[0.792, -0.075]
[0.793, -0.075]
[0.794, -0.075]
[0.795, -0.075]
[0.796, -0.075]
[0.797, -0.075]
[0.798, -0.075]
[0.799, -0.075]
[0.8, -0.075]
[0.801, -0.075]
[0.802, -0.075]
[0.803, -0.075]
[0.804, -0.075]
[0.805, -0.075]
[0.806, -0.075]
[0.807, -0.075]
[0.808, -0.075]
[0.809, -0.075]
[0.81, -0.075]
[0.811, -0.075]
[0.812, -0.075]
[0.813, -0.075]
[0.814, -0.075]
[0.815, -0.075]
[0.816, -0.075]
[0.817, -0.075]
[0.818, -0.075]
[0.819, -0.075]
[0.82, -0.075]
[0.821, -0.075]
[0.822, -0.075]
[0.823, -0.075]
[0.824, -0.075]
[0.825, -0.075]
[0.826, -0.075]
[0.827, -0.075]
[0.828, -0.075]
[0.829, -0.075]
[0.83, -0.075]
[0.831, -0.075]
[0.832, -0.075]
[0.833, -0.075]
[0.834, -0.075]
[0.835, -0.075]
[0.836, -0.075]
[0.837, -0.075]
[0.838, -0.075]
[0.839, -0.075]
[0.84, -0.075]
[0.841, -0.075]
[0.842, -0.075]
[0.843, -0.075]
[0.844, -0.075]
[0.845, -0.075]
[0.846, -0.075]
[0.847, -0.075]
[0.848, -0.075]
[0.849, -0.075]
[0.85, -0.075]
[0.851, -0.075]
[0.852, -0.075]
[0.853, -0.075]
[0.854, -0.075]
[0.855, -0.075]
[0.856, -0.075]
[0.857, -0.075]
[0.858, -0.075]
[0.859, -0.075]
[0.86, -0.075]
[0.861, -0.075]
[0.862, -0.075]
[0.863, -0.075]
[0.864, -0.075]
[0.865, -0.075]
[0.866, -0.075]
[0.867, -0.075]
[0.868, -0.075]
[0.869, -0.075]
[0.87, -0.075]
[0.871, -0.075]
[0.872, -0.075]
[0.873, -0.075]
[0.874, -0.075]
[0.875, -0.075]
[0.876, -0.075]
[0.877, -0.075]
[0.878, -0.075]
[0.879, -0.075]
[0.88, -0.075]
[0.881, -0.075]
[0.882, -0.075]
[0.883, -0.075]
[0.884, -0.075]
[0.885, -0.075]
[0.886, -0.075]
[0.887, -0.075]
[0.888, -0.075]
[0.889, -0.075]
[0.89, -0.075]
[0.891, -0.075]
[0.892, -0.075]
[0.893, -0.075]
[0.894, -0.075]
[0.895, -0.075]
[0.896, -0.075]
[0.897, -0.075]
[0.898, -0.075]
[0.899, -0.075]
[0.9, -0.075]
[0.901, -0.075]
[0.902, -0.075]
[0.903, -0.075]
[0.904, -0.075]
[0.905, -0.075]
[0.906, -0.075]
[0.907, -0.075]
[0.908, -0.075]
[0.909, -0.075]
[0.91, -0.075]
[0.911, -0.075]
[0.912, -0.075]
[0.913, -0.075]
[0.914, -0.075]
[0.915, -0.075]
[0.916, -0.075]
[0.917, -0.075]
[0.918, -0.075]
[0.919, -0.075]
[0.92, -0.075]
[0.921, -0.075]
[0.922, -0.075]
[0.923, -0.075]
[0.924, -0.075]
[0.925, -0.075]
[0.926, -0.075]
[0.927, -0.075]
[0.928, -0.075]
[0.929, -0.075]
[0.93, -0.075]
[0.931, -0.075]
[0.932, -0.075]
[0.933, -0.075]
[0.934, -0.075]
[0.935, -0.075]
[0.936, -0.075]
[0.937, -0.075]
[0.938, -0.075]
[0.939, -0.075]
[0.94, -0.075]
[0.941, -0.075]
[0.942, -0.075]
[0.943, -0.075]
[0.944, -0.075]
[0.945, -0.075]
[0.946, -0.075]
[0.947, -0.075]
[0.948, -0.075]
[0.949, -0.075]
[0.95, -0.075]
[0.951, -0.075]
[0.952, -0.075]
[0.953, -0.075]
[0.954, -0.075]
[0.955, -0.075]
[0.956, -0.075]
[0.957, -0.075]
[0.958, -0.075]
[0.959, -0.075]
[0.96, -0.075]
[0.961, -0.075]
[0.962, -0.075]
[0.963, -0.075]
[0.964, -0.075]
[0.965, -0.075]
[0.966, -0.075]
[0.967, -0.075]
[0.968, -0.075]
[0.969, -0.075]
[0.97, -0.075]
[0.971, -0.075]
[0.972, -0.075]
[0.973, -0.075]
[0.974, -0.075]
[0.975, -0.075]
[0.976, -0.075]
[0.977, -0.075]
[0.978, -0.075]
[0.979, -0.075]
[0.98, -0.075]
[0.981, -0.075]
[0.982, -0.075]
[0.983, -0.075]
[0.984, -0.075]
[0.985, -0.075]
[0.986, -0.075]
[0.987, -0.075]
[0.988, -0.075]
[0.989, -0.075]
[0.99, -0.075]
[0.991, -0.075]
[0.992, -0.075]
[0.993, -0.075]
[0.994, -0.075]
[0.995, -0.075]
[0.996, -0.075]
[0.997, -0.075]
[0.998, -0.075]
[0.999, -0.075]
[1.0, -0.075]
[1.0011498501412153, -0.07499885029854864]
[1.0022996956842243, -0.07499540119879214]
[1.0034495320308385, -0.07498965271452335]
[1.0045993545829068, -0.0749816048687303]
[1.0057491587423328, -0.07497125769359593]
[1.0068989399110941, -0.07495861123049816]
[1.0080486934912596, -0.07494366553000975]
[1.0091984148850088, -0.07492642065189807]
[1.0103480994946508, -0.07490687666512463]
[1.0114977427226406, -0.07488503364784514]
[1.0126473399715992, -0.07486089168740886]
[1.013796886644331, -0.07483445088035864]
[1.0149463781438435, -0.07480571133243029]
[1.0160958098733643, -0.07477467315855221]
[1.0172451772363598, -0.07474133648284476]
[1.0183944756365544, -0.07470570143861995]
[1.0195437004779477, -0.07466776816838114]
[1.020692847164834, -0.07462753682382196]
[1.021841911101819, -0.0745850075658259]
[1.0229908876938418, -0.07454018056446592]
[1.024139772346188, -0.07449305599900356]
[1.025288560464512, -0.07444363405788795]
[1.0264372474548549, -0.07439191493875569]
[1.0275858287236612, -0.07433789884842952]
[1.0287342996777986, -0.07428158600291761]
[1.0298826557245757, -0.074222976627413]
[1.0310308922717608, -0.07416207095629226]
[1.0321790047276007, -0.07409886923311479]
[1.033326988500837, -0.07403337171062196]
[1.034474839000727, -0.07396557865073577]
[1.0356225516370603, -0.07389549032455807]
[1.0367701218201792, -0.07382310701236941]
[1.0379175449609939, -0.07374842900362785]
[1.0390648164710032, -0.07367145659696792]
[1.040211931762313, -0.07359219010019921]
[1.041358886247653, -0.07351062983030544]
[1.0425056753403965, -0.07342677611344312]
[1.0436522944545774, -0.07334062928493995]
[1.0447987390049107, -0.07325218968929369]
[1.0459450044068084, -0.07316145768017088]
[1.047091086076399, -0.07306843362040559]
[1.0482369794305457, -0.07297311788199727]
[1.0493826798868653, -0.07287551084610994]
[1.0505281828637463, -0.07277561290307029]
[1.0516734837803658, -0.07267342445236648]
[1.0528185780567094, -0.07256894590264619]
[1.0539634611135886, -0.07246217767171503]
[1.0551081283726615, -0.07235312018653509]
[1.0562525752564467, -0.07224177388322311]
[1.057396797188345, -0.07212813920704866]
[1.058540789592657, -0.07201221661243244]
[1.0596845478946015, -0.07189400656294435]
[1.060828067520332, -0.07177350953130202]
[1.0619713438969587, -0.07165072599936832]
[1.0631143724525627, -0.07152565645814991]
[1.0642571486162167, -0.07139830140779509]
[1.0653996678180029, -0.07126866135759179]
[1.0665419254890305, -0.07113673682596561]
[1.0676839170614556, -0.07100252834047774]
[1.0688256379684975, -0.07086603643782258]
[1.0699670836444577, -0.0707272616638262]
[1.0711082495247397, -0.07058620457344342]
[1.0722491310458642, -0.07044286573075613]
[1.0733897236454903, -0.0702972457089711]
[1.0745300227624317, -0.070149345090417]
[1.0756700238366765, -0.06999916446654277]
[1.076809722309404, -0.06984670443791481]
[1.0779491136230037, -0.06969196561421506]
[1.0790881932210938, -0.06953494861423815]
[1.0802269565485385, -0.06937565406588897]
[1.0813653990514671, -0.06921408260618034]
[1.0825035161772916, -0.06905023488123027]
[1.0836413033747259, -0.06888411154625954]
[1.084778756093802, -0.06871571326558899]
[1.0859158697858906, -0.06854504071263681]
[1.0870526399037173, -0.06837209456991616]
[1.088189061901383, -0.06819687552903178]
[1.089325131234379, -0.0680193842906781]
[1.0904608433596081, -0.06783962156463554]
[1.091596193735401, -0.06765758806976839]
[1.0927311778215354, -0.06747328453402178]
[1.093865791079253, -0.06728671169441827]
[1.0950000289712796, -0.06709787029705558]
[1.096133886961841, -0.06690676109710318]
[1.0972673605166832, -0.06671338485879938]
[1.0984004451030882, -0.06651774235544826]
[1.0995331361898952, -0.06631983436941687]
[1.100665429247515, -0.06611966169213156]
[1.1017973197479523, -0.06591722512407512]
[1.1029288031648201, -0.06571252547478366]
[1.1040598749733594, -0.06550556356284312]
[1.1051905306504577, -0.0652963402158864]
[1.1063207656746665, -0.0650848562705894]
[1.1074505755262194, -0.06487111257266838]
[1.10857995568705, -0.06465510997687625]
[1.1097089016408106, -0.06443684934699911]
[1.1108374088728894, -0.06421633155585266]
[1.11196547287043, -0.06399355748527921]
[1.1130930891223465, -0.06376852802614383]
[1.1142202531193466, -0.06354124407833046]
[1.1153469603539439, -0.06331170655073891]
[1.1164732063204794, -0.06307991636128088]
[1.1175989865151392, -0.06284587443687645]
[1.118724296435971, -0.06260958171345044]
[1.119849131582904, -0.0623710391359283]
[1.1209734874577655, -0.06213024765823252]
[1.1220973595642998, -0.06188720824327913]
[1.1232207434081851, -0.06164192186297328]
[1.1243436344970532, -0.06139438949820578]
[1.1254660283405056, -0.0611446121388492]
[1.1265879204501317, -0.06089259078375346]
[1.1277093063395291, -0.060638326440742275]
[1.1288301815243185, -0.060381820126609]
[1.1299505415221627, -0.06012307286711257]
[1.1310703818527854, -0.05986208569697328]
[1.1321896980379884, -0.059598859659868705]
[1.1333084856016686, -0.05933339580842994]
[1.1344267400698382, -0.059065695204236365]
[1.13554445697064, -0.05879575891781269]
[1.1366616318343679, -0.05852358802862363]
[1.1377782601934816, -0.058249183625070144]
[1.1388943375826277, -0.05797254680448487]
[1.140009859538655, -0.05769367867312792]
[1.141124821600635, -0.05741258034618215]
[1.142239219309877, -0.05712925294774891]
[1.1433530482099472, -0.05684369761084349]
[1.1444663038466867, -0.05655591547739095]
[1.145578981768229, -0.056265907698220985]
[1.1466910775250176, -0.05597367543306336]
[1.1478025866698247, -0.05567921985054375]
[1.1489135047577677, -0.05538254212817879]
[1.1500238273463281, -0.05508364345237123]
[1.1511335499953679, -0.05478252501840541]
[1.1522426682671494, -0.0544791880304424]
[1.1533511777263514, -0.05417363370151509]
[1.1544590739400868, -0.05386586325352346]
[1.1555663524779218, -0.05355587791722974]
[1.1566730089118915, -0.053243678932253485]
[1.1577790388165194, -0.052929267547066276]
[1.1588844377688343, -0.05261264501898745]
[1.159989201348389, -0.05229381261417791]
[1.1610933251372753, -0.05197277160763656]
[1.1621968047201456, -0.05164952328319373]
